               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.079092,            0.026167,            0.020461,            0.050159,             0.19481,             0.02515,           0.0054014,            0.082397,            0.015669,           0.0068949,              0.0704,           0.0032889,           0.0032889
                   1,            0.056384,            0.017129,            0.012425,            0.077036,             0.37013,            0.062335,            0.016278,            0.068185,            0.013634,           0.0099132,            0.040334,           0.0065567,           0.0065567
                   2,            0.053461,            0.014221,           0.0092496,            0.074174,             0.17532,            0.037735,           0.0089943,            0.065948,            0.016723,            0.015192,            0.010203,           0.0097584,           0.0097584
                   3,            0.049891,               0.014,           0.0060735,            0.096111,             0.19481,            0.046538,            0.013375,            0.061356,            0.018233,            0.028193,            0.009703,            0.009703,            0.009703
                   4,             0.04271,            0.012054,           0.0044213,             0.31354,             0.51948,             0.24074,            0.065457,            0.057517,             0.01414,           0.0024619,            0.009703,            0.009703,            0.009703
