               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.084942,            0.030429,            0.034075,             0.25284,             0.26758,             0.32889,            0.082827,             0.05532,            0.023148,            0.029496,             0.07037,           0.0032922,           0.0032922
                   1,             0.06047,            0.021618,            0.024738,             0.40707,             0.59613,             0.51471,             0.17627,            0.048003,            0.016129,             0.02426,            0.039059,           0.0053137,           0.0053137
                   2,             0.05401,            0.016532,             0.02114,             0.42635,              0.5401,             0.49472,              0.1851,            0.052833,            0.012471,            0.020726,           0.0064267,           0.0060151,           0.0060151
                   3,            0.046129,             0.01394,             0.01742,             0.77787,             0.79763,             0.84885,             0.43081,            0.034175,            0.011336,            0.015794,             0.00406,             0.00406,             0.00406
                   4,            0.042714,             0.01257,            0.014099,             0.87101,             0.84652,               0.899,              0.4514,            0.033073,              0.0105,            0.011739,             0.00406,             0.00406,             0.00406
