               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.081101,            0.028022,                   0,             0.64282,             0.76358,              0.7439,             0.27857,            0.033692,             0.01432,                   0,            0.070238,           0.0033069,           0.0033069
                   1,            0.052784,            0.019575,                   0,             0.74328,             0.83501,             0.85658,             0.38394,            0.032411,           0.0090782,                   0,            0.038047,           0.0044489,           0.0044489
                   2,              0.0442,            0.015392,                   0,              0.9433,             0.93724,             0.98164,             0.55122,            0.024544,           0.0076807,                   0,           0.0036556,            0.003391,            0.003391
